[Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0][192.168.116.1][13/02/2018-10:34:42][GET][/]:
[Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0][192.168.116.1][13/02/2018-10:34:42][GET][/]:
[Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0][192.168.116.1][13/02/2018-10:34:42][GET][/]:
[Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0][192.168.116.1][13/02/2018-10:34:42][GET][/]:
[Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0][192.168.116.1][13/02/2018-10:34:42][GET][/]:
[Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0][192.168.116.1][13/02/2018-10:34:42][GET][/]:
[Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0][192.168.116.1][13/02/2018-10:34:42][GET][/]:
[Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0][192.168.116.1][13/02/2018-10:34:42][GET][/]:
[Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0][192.168.116.1][13/02/2018-10:34:42][GET][/]:
[Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0][192.168.116.1][13/02/2018-10:34:42][GET][/]:
[Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0][192.168.116.1][13/02/2018-10:34:42][GET][/]:
